Application Name,Year,Month,Volume Customer(Mn),Value Customer (Cr),Volume B2C (Mn),Value B2C (Cr),Volume B2B(Mn),Value B2B(Cr),Volume (Mn),Value (Cr)
Google Pay,2023,5,3274.69,497748.17,0.0,0.0,0.0,0.0,3274.69,497748.17
Groww,2023,5,0.47,287.97,0.0,0.0,0.0,0.0,0.47,287.97
HDFC Bank Apps,2023,5,16.07,3979.33,0.0,0.0,0.0,3.0,16.07,3982.69
HSBC Bank App,2023,5,0.14,87.42,0.0,0.0,0.0,0.0,0.14,87.5
ICICI Bank Apps,2023,5,33.59,9965.41,5.23,380.0,5.09,6755.0,43.92,17101.09
IDBI Bank App,2023,5,0.08,34.64,0.0,0.0,0.0,0.0,0.08,34.64
IDFC First Bank Apps,2023,5,8.52,1688.6,0.0,0.0,0.04,7.0,8.56,1696.01
India Post Payments Bank App,2023,5,5.04,775.77,0.0,0.0,0.0,0.0,5.04,775.77
Indian Bank App,2023,5,0.28,80.31,0.0,0.0,0.0,4.0,0.28,84.07
Indian Overseas Bank Apps,2023,5,0.04,10.5,0.0,0.0,0.0,0.0,0.04,10.5
INDIE,2023,5,0.81,886.1,0.0,0.0,0.0,0.0,0.81,886.1
Jammu and Kashmir Bank App,2023,5,0.01,2.0,0.0,0.0,0.0,0.0,0.01,2.0
Jio Payments Bank App,2023,5,1.56,119.8,0.0,0.0,0.0,0.0,1.56,119.8
Jupiter Money,2023,5,2.94,415.04,0.0,0.0,0.0,0.0,2.94,415.04
Akudo & Muvin (Livquik),2023,5,0.18,6.62,0.0,0.0,0.0,0.0,0.18,6.62
Karnataka Bank App,2023,5,0.63,127.13,0.0,0.0,0.0,0.0,0.63,127.13
Karur Vysya Bank App,2023,5,0.04,13.65,0.0,0.0,0.0,0.0,0.04,13.65
Kotak Mahindra Bank Apps,2023,5,16.31,3139.04,0.0,0.0,0.0,0.0,16.31,3139.05
MakeMyTrip,2023,5,0.02,8.01,0.0,0.0,0.0,0.0,0.02,8.01
Mobikwik,2023,5,3.59,997.92,0.0,0.0,0.0,0.0,3.59,997.92
NSDL Payments Bank App,2023,5,0.02,3.28,0.0,0.0,0.0,0.0,0.02,3.28
OMNI,2023,5,0.39,10.1,0.0,0.0,0.0,0.0,0.39,10.1
Paytm,2023,5,1229.38,142291.76,3.95,7.0,0.56,887.0,1342.28,164843.79
PhonePe,2023,5,4499.2,757276.68,0.0,0.0,0.0,0.0,4499.2,757276.68
PINELABS,2023,5,0.06,3.25,0.0,0.0,0.0,0.0,0.06,3.25
Punjab National Bank App,2023,5,1.1,177.63,0.0,0.0,0.0,0.0,1.1,177.69
Punjab Sindh Bank App,2023,5,0.04,13.71,0.0,0.0,0.0,0.0,0.04,13.71
RBL Bank App,2023,5,1.06,484.53,0.0,0.0,0.18,5.0,1.24,489.36
RBL Bank App,2023,5,0.01,0.06,0.0,0.0,0.0,0.0,0.01,0.06
Samsung Pay,2023,5,5.83,535.16,0.0,0.0,0.0,0.0,5.83,535.16
Slice,2023,5,0.83,194.68,0.0,0.0,0.0,0.0,0.83,194.68
South Indian Bank App,2023,5,0.25,71.46,0.0,0.0,0.0,0.0,0.25,71.46
Standard Chartered Bank App,2023,5,0.15,91.48,0.0,0.0,0.0,0.0,0.15,91.48
SBI Bank Apps,2023,5,4.48,1969.72,0.0,0.0,0.01,0.0,4.48,1969.95
Tamilnad Mercantile Bank Apps,2023,5,0.07,14.83,0.0,0.0,0.0,0.0,0.07,14.83
TataNeu,2023,5,0.15,19.28,0.0,0.0,0.0,0.0,0.15,19.28
UCO Bank App,2023,5,0.36,118.26,0.0,0.0,0.0,0.0,0.36,118.26
Ultracash,2023,5,0.01,1.13,0.0,0.0,0.0,0.0,0.01,1.13
Union Bank Apps,2023,5,0.76,306.93,0.0,0.0,0.0,0.0,0.76,306.93
Utkarsh Small Finance Bank,2023,5,0.02,6.81,0.0,0.0,0.0,0.0,0.02,6.81
WhatsApp,2023,5,15.98,1477.06,0.0,0.0,0.0,0.0,15.98,1477.06
Yes Bank Apps,2023,5,42.21,12934.66,0.0,0.0,0.44,72.0,42.65,13006.24
Zomato,2023,5,0.01,0.43,0.0,0.0,0.0,0.0,0.01,0.43
Others,2023,5,0.03,10.98,0.0,0.0,0.0,0.0,0.03,10.98
PhonePe,2024,5,6831.92,1033588.8,0.0,0.0,0.0,0.0,6831.92,1033588.8
Google Pay,2024,5,5219.56,723315.7,0.0,0.0,0.0,0.0,5219.56,723315.7
Paytm,2024,5,1140.01,124704.79,0.0,0.0,0.0,0.0,1140.01,124704.8
Cred,2024,5,140.08,47547.15,0.0,0.0,0.0,0.0,140.08,47547.15
Amazon Pay,2024,5,68.34,7419.41,0.0,0.0,0.0,0.0,68.34,7419.41
Axis Bank Apps,2024,5,14.15,3722.58,49.93,2184.74,0.01,2.89,64.08,5910.2
ICICI Bank Apps,2024,5,38.5,15332.69,4.22,449.37,9.37,12661.97,52.1,28444.03
FamApp by Trio,2024,5,50.1,630.89,0.0,0.0,0.0,0.0,50.1,630.89
Kotak Mahindra Bank Apps,2024,5,43.41,6178.23,0.0,0.0,0.0,0.0,43.41,6178.23
WhatsApp,2024,5,36.45,2938.72,0.0,0.0,0.0,0.0,36.45,2938.72
HDFC Bank Apps,2024,5,35.4,8104.06,0.02,0.06,0.01,0.32,35.43,8104.44
Navi,2024,5,29.72,958.09,0.0,0.0,0.0,0.0,29.72,958.09
BHIM,2024,5,23.43,8095.99,0.0,0.0,0.0,0.0,23.43,8095.99
Yes Bank Apps,2024,5,22.48,10939.53,0.0,0.0,0.26,32.11,22.75,10971.64
Airtel Payments Bank Apps,2024,5,17.29,1329.67,0.0,0.0,0.0,0.48,17.29,1330.15
Mobikwik,2024,5,11.12,2536.09,0.0,0.0,0.0,0.0,11.12,2536.09
Groww,2024,5,10.15,7086.12,0.0,0.0,0.0,0.0,10.15,7086.12
Bajaj Finserv,2024,5,9.55,1685.51,0.0,0.0,0.0,0.0,9.55,1685.51
Slice,2024,5,9.05,646.12,0.0,0.0,0.0,0.0,9.05,646.12
SBI Bank Apps,2024,5,7.12,2494.2,0.0,0.0,0.0,0.0,7.12,2494.2
IDFC First Bank Apps,2024,5,6.99,1690.27,0.0,0.0,0.0,0.0,6.99,1690.27
Samsung Pay,2024,5,6.56,547.28,0.0,0.0,0.0,0.0,6.56,547.28
Jupiter Money,2024,5,6.07,769.1,0.0,0.0,0.0,0.0,6.07,769.1
Federal Bank App,2024,5,5.95,811.83,0.0,0.0,0.0,0.0,5.95,811.83
India Post Payments Bank App,2024,5,5.67,703.81,0.0,0.0,0.0,0.0,5.67,703.81
Flipkart UPI,2024,5,4.44,251.85,0.0,0.0,0.0,0.0,4.44,251.85
Canara Bank App,2024,5,3.06,828.58,0.0,0.0,0.0,0.0,3.06,828.58
Deutsche Bank App,2024,5,2.34,369.39,0.0,0.0,0.0,0.03,2.34,369.42
RBL Bank App,2024,5,2.2,900.13,0.0,0.0,0.05,31.21,2.24,931.34
Jio Payments Bank App,2024,5,2.02,170.98,0.0,0.0,0.0,0.0,2.02,170.98
Punjab National Bank App,2024,5,1.74,444.5,0.0,0.0,0.0,0.0,1.74,444.5
Timepay,2024,5,1.61,17.59,0.0,0.0,0.0,0.1,1.61,17.69
Indian Bank App,2024,5,1.54,319.53,0.0,0.0,0.0,10.05,1.55,329.58
OMNI,2024,5,1.24,45.65,0.0,0.0,0.0,0.0,1.24,45.65
Union Bank Apps,2024,5,1.19,505.23,0.0,0.0,0.0,0.0,1.19,505.24
Bank of Baroda Apps,2024,5,1.02,456.55,0.0,0.0,0.0,7.31,1.02,463.85
Central Bank of India App,2024,5,0.95,213.29,0.0,0.0,0.0,0.0,0.95,213.29
AU Small Finance Bank App,2024,5,0.82,249.6,0.0,0.0,0.0,0.0,0.82,249.6
DBS Bank Apps,2024,5,0.48,192.6,0.0,0.0,0.0,0.49,0.48,193.09
South Indian Bank App,2024,5,0.47,141.47,0.0,0.0,0.0,0.0,0.47,141.47
Jammu and Kashmir Bank App,2024,5,0.43,64.02,0.0,0.0,0.0,0.0,0.43,64.02
Fino Payments Bank App,2024,5,0.38,53.86,0.0,0.0,0.0,0.0,0.38,53.86
HSBC Bank App,2024,5,0.37,144.05,0.0,0.05,0.0,0.0,0.37,144.11
INDIE,2024,5,0.35,73.84,0.0,0.0,0.0,0.58,0.36,74.41
Shriram One,2024,5,0.29,36.28,0.0,0.0,0.0,0.0,0.29,36.28
Bank of India App,2024,5,0.21,81.09,0.0,0.0,0.0,0.0,0.21,81.09
UCO Bank App,2024,5,0.2,65.61,0.0,0.0,0.0,0.0,0.2,65.61
GoKiwi,2024,5,0.18,36.03,0.0,0.0,0.0,0.0,0.18,36.03
TataNeu,2024,5,0.18,25.1,0.0,0.0,0.0,0.0,0.18,25.1
Standard Chartered Bank App,2024,5,0.16,114.4,0.0,0.0,0.0,0.02,0.16,114.42
Digikhata,2024,5,0.16,52.29,0.0,0.0,0.0,0.0,0.16,52.29
Karnataka Bank App,2024,5,0.16,30.0,0.0,0.0,0.0,0.0,0.16,30.0
Indian Overseas Bank Apps,2024,5,0.12,34.43,0.0,0.0,0.0,0.0,0.12,34.43
Dhani,2024,5,0.11,13.12,0.0,0.0,0.0,0.0,0.11,13.12
Ultracash,2024,5,0.09,6.19,0.0,0.0,0.0,0.0,0.09,6.19
Tamilnad Mercantile Bank Apps,2024,5,0.08,25.66,0.0,0.0,0.0,0.0,0.08,25.66
Citi Bank App,2024,5,0.08,66.69,0.0,0.0,0.0,0.05,0.08,66.74
City Union Bank App,2024,5,0.08,28.77,0.0,0.0,0.0,0.0,0.08,28.77
NSDL Payments Bank App,2024,5,0.07,12.71,0.0,0.0,0.0,0.0,0.07,12.71
IDBI Bank App,2024,5,0.07,27.32,0.0,0.0,0.0,0.0,0.07,27.32
Aditya Birla Capital Digital,2024,5,0.05,1.84,0.0,0.0,0.0,0.0,0.05,1.84
Karur Vysya Bank App,2024,5,0.05,20.63,0.0,0.0,0.0,0.0,0.05,20.63
Bank of Maharashtra App,2024,5,0.05,10.37,0.0,0.0,0.0,0.12,0.05,10.49
Niyo Global,2024,5,0.04,22.56,0.0,0.0,0.0,0.0,0.04,22.56
MakeMyTrip,2024,5,0.04,18.12,0.0,0.0,0.0,0.0,0.04,18.12
Equitas Small Apps,2024,5,0.04,25.35,0.0,0.0,0.0,0.0,0.04,25.35
Punjab Sindh Bank App,2024,5,0.03,12.97,0.0,0.0,0.0,0.0,0.03,12.97
Others,2024,5,1.15,145.19,0.0,0.0,0.14,3.74,1.29,148.93
Airtel Payments Bank Apps,2022,11,8.73,671.0,,,0.0,0.0,8.73,671.09
Allahabad Bank App,2022,11,0.03,8.98,,,,,0.03,8.98
Amazon Pay,2022,11,59.76,5873.36,,,,,59.76,5873.36
Andhra Bank Apps,2022,11,0.01,1.53,,,,,0.01,1.53
AU Small Finance Bank App,2022,11,0.53,160.3,,,0.0,0.0,0.53,160.3
Axis Bank Apps,2022,11,6.16,1061.61,71.59,57.35,0.03,2.28,77.77,1121.24
Bajaj Finserv,2022,11,3.9,464.41,,,,,3.9,464.41
Bandhan Bank Apps,2022,11,0.01,1.21,,,,,0.01,1.21
Bank of Baroda Apps,2022,11,1.26,455.8,,,0.0,0.0,1.26,455.8
Bank of India App,2022,11,0.2,57.87,,,,,0.2,57.87
Bank of Maharashtra App,2022,11,0.07,18.29,,,,,0.07,18.29
BHIM,2022,11,25.01,8144.83,,,,,25.01,8144.83
Canara Bank App,2022,11,0.86,232.51,,,,,0.86,232.51
Central Bank of India App,2022,11,0.27,63.29,,,0.0,0.02,0.27,63.31
Citi Bank App,2022,11,0.13,60.76,,,0.0,0.0,0.13,60.76
City Union Bank App,2022,11,0.04,12.58,,,,,0.04,12.58
Cointab,2022,11,0.03,13.87,,,,,0.03,13.87
Cred,2022,11,25.63,18599.72,,,,,25.63,18599.72
DBS Bank Apps,2022,11,0.4,169.55,,,0.0,0.0,0.41,169.55
Deutsche Bank App,2022,11,1.3,104.2,,,0.0,0.01,1.3,104.21
Dhanlaxmi Bank App,2022,11,0.01,2.75,,,,,0.01,2.75
Equitas Small Apps,2022,11,0.02,9.82,,,,,0.02,9.82
FamApp by Trio,2022,11,4.88,64.75,,,0.0,0.0,4.88,64.75
Fave,2022,11,0.05,2.83,,,,,0.05,2.83
Federal Bank App,2022,11,4.11,553.97,,,0.0,0.0,4.11,553.97
Fino Payments Bank App,2022,11,0.1,6.61,,,,,0.1,6.61
Google Pay,2022,11,2541.14,409714.75,,,,,2541.14,409714.75
Groww,2022,11,0.05,36.46,,,,,0.05,36.46
HDFC Bank Apps,2022,11,10.66,2758.27,,,0.0,0.18,10.66,2758.45
HSBC Bank App,2022,11,0.12,72.51,0.0,0.06,0.0,0.0,0.12,72.58
ICICI Bank Apps,2022,11,33.4,7829.07,4.32,334.5,6.36,6587.24,44.07,14750.8
IDBI Bank App,2022,11,0.06,24.78,,,,,0.06,24.78
IDFC First Bank Apps,2022,11,10.46,895.21,,,0.01,8.16,10.47,903.37
India Post Payments Bank App,2022,11,4.66,589.14,,,,,4.66,589.14
Indian Bank App,2022,11,0.23,67.2,,,,,0.23,67.2
Indian Overseas Bank Apps,2022,11,0.01,2.48,,,,,0.01,2.48
INDIE,2022,11,1.2,1224.13,,,,,1.2,1224.13
Janta Sahakari Bank App,2022,11,0.01,3.99,,,,,0.01,3.99
Jio Payments Bank App,2022,11,1.31,96.23,,,,,1.31,96.23
Jupiter Money,2022,11,2.16,275.52,,,,,2.16,275.52
Karnataka Bank App,2022,11,0.4,74.82,,,,,0.4,74.82
Karur Vysya Bank App,2022,11,0.04,16.23,,,,,0.04,16.23
Kotak Mahindra Bank Apps,2022,11,10.93,2304.9,,,0.0,0.0,10.93,2304.9
MakeMyTrip,2022,11,0.02,7.69,,,,,0.02,7.69
Mobikwik,2022,11,3.46,762.67,,,,,3.46,762.67
NSDL Payments Bank App,2022,11,0.02,2.7,,,,,0.02,2.7
Paytm,2022,11,973.85,109008.43,4.12,14.81,0.37,491.76,1081.47,128805.91
PhonePe,2022,11,3418.75,591327.61,,,,,3418.75,591327.61
Punjab National Bank App,2022,11,0.16,60.47,,,,,0.16,60.47
Punjab Sindh Bank App,2022,11,0.03,8.97,,,,,0.03,8.97
RBL Bank App,2022,11,1.14,268.54,0.0,0.0,0.04,2.26,1.18,270.81
Samsung Pay,2022,11,5.07,506.82,,,,,5.07,506.82
Slash,2022,11,0.01,0.28,,,,,0.01,0.28
Slice,2022,11,0.51,206.66,,,,,0.51,206.66
South Indian Bank App,2022,11,0.2,58.1,,,,,0.2,58.1
Standard Chartered Bank App,2022,11,0.15,79.67,0.4,12.9,0.0,0.0,0.55,92.57
SBI Bank Apps,2022,11,4.07,1876.46,,,,,4.07,1876.46
Tamilnad Mercantile Bank Apps,2022,11,0.07,10.48,,,,,0.07,10.48
TataNeu,2022,11,0.14,17.17,,,,,0.14,17.17
TJSB Bank Apps,2022,11,0.01,2.25,,,,,0.01,2.25
UCO Bank App,2022,11,0.26,78.38,,,,,0.26,78.38
Ultracash,2022,11,0.02,0.27,,,,,0.02,0.27
Union Bank Apps,2022,11,1.11,313.3,,,,,1.11,313.3
Utkarsh Small Finance Bank,2022,11,0.02,7.1,,,,,0.02,7.1
WhatsApp,2022,11,9.25,769.29,,,,,9.25,769.29
Yes Bank Apps,2022,11,43.18,14682.54,0.0,0.0,0.41,219.88,43.58,14902.42
Others,2022,11,0.02,4.07,,,0.0,0.0,0.02,4.07
PhonePe,2023,11,5281.68,854939.06,0.0,0.0,0.0,0.0,5281.68,854939.06
Google Pay,2023,11,4099.08,599748.64,0.0,0.0,0.0,0.0,4099.08,599748.64
Paytm,2023,11,1360.45,166257.62,4.68,8.0,0.73,1314.75,1479.47,191150.29
Cred,2023,11,93.31,34541.32,0.0,0.0,0.0,0.0,93.31,34541.32
Axis Bank Apps,2023,11,11.52,2305.08,54.43,1453.3,0.07,7.27,66.02,3765.68
Amazon Pay,2023,11,48.62,5737.75,0.0,0.0,0.0,0.0,48.62,5737.75
ICICI Bank Apps,2023,11,27.41,11134.92,4.79,456.4,8.55,12088.53,40.75,23679.82
FamApp by Trio,2023,11,28.43,336.92,0.0,0.0,0.0,0.0,28.43,336.92
Yes Bank Apps,2023,11,25.77,11004.32,0.0,0.0,0.28,66.93,26.06,11071.25
Kotak Mahindra Bank Apps,2023,11,23.88,4341.61,0.0,0.0,0.0,0.0,23.88,4341.61
BHIM,2023,11,23.49,7957.46,0.0,0.0,0.0,0.0,23.49,7957.46
WhatsApp,2023,11,22.29,1917.47,0.0,0.0,0.0,0.0,22.29,1917.47
HDFC Bank Apps,2023,11,20.68,5511.35,0.0,0.0,0.0,0.0,20.68,5511.35
Bajaj Finserv,2023,11,15.95,2406.06,0.0,0.0,0.0,0.0,15.95,2406.06
Airtel Payments Bank Apps,2023,11,11.06,795.35,0.0,0.0,0.0,0.0,11.34,827.06
Samsung Pay,2023,11,5.84,557.36,0.0,0.0,0.0,0.0,5.84,557.36
Federal Bank App,2023,11,5.51,698.05,0.0,0.0,0.0,0.01,5.51,698.06
SBI Bank Apps,2023,11,5.36,2162.43,0.0,0.0,0.02,0.66,5.38,2163.09
India Post Payments Bank App,2023,11,5.27,532.66,0.0,0.0,0.0,0.0,5.27,532.66
IDFC First Bank Apps,2023,11,4.96,1306.91,0.0,0.0,0.0,0.0,4.96,1306.91
Groww,2023,11,4.59,2528.81,0.0,0.0,0.0,0.0,4.59,2528.81
Mobikwik,2023,11,4.52,1467.04,0.0,0.0,0.0,0.0,4.52,1467.04
Standard Chartered Bank App,2023,11,3.82,262.18,0.0,0.0,0.57,244.75,4.39,506.93
Jupiter Money,2023,11,4.29,577.81,0.0,0.0,0.0,0.0,4.29,577.81
Deutsche Bank App,2023,11,3.26,268.83,0.0,0.0,0.0,0.02,3.26,268.85
Canara Bank App,2023,11,2.29,667.04,0.0,0.0,0.0,0.0,2.29,667.04
RBL Bank App,2023,11,1.85,621.67,0.0,0.0,0.37,18.3,2.23,639.97
Slice,2023,11,1.58,359.47,0.0,0.0,0.0,0.0,1.58,359.47
Jio Payments Bank App,2023,11,1.26,117.05,0.0,0.0,0.0,0.0,1.26,117.05
OMNI,2023,11,1.09,37.85,0.0,0.0,0.0,0.0,1.09,37.85
Punjab National Bank App,2023,11,1.04,214.29,0.0,0.0,0.0,0.0,1.04,214.29
Union Bank Apps,2023,11,0.95,376.07,0.0,0.0,0.0,0.0,0.95,376.07
Bank of Baroda Apps,2023,11,0.95,412.54,0.0,0.0,0.0,7.13,0.95,419.67
INDIE,2023,11,0.9,193.07,0.0,0.0,0.0,0.0,0.9,193.07
GoKiwi,2023,11,0.76,93.99,0.0,0.0,0.0,0.0,0.76,93.99
Slice,2023,11,0.69,27.42,0.0,0.0,0.0,0.0,0.69,27.42
Karnataka Bank App,2023,11,0.68,138.91,0.0,0.0,0.0,0.01,0.68,138.92
AU Small Finance Bank App,2023,11,0.66,239.22,0.0,0.0,0.0,0.0,0.66,239.22
Navi,2023,11,0.6,37.44,0.0,0.0,0.0,0.0,0.6,37.44
DBS Bank Apps,2023,11,0.52,196.26,0.0,0.0,0.0,0.61,0.52,196.87
Central Bank of India App,2023,11,0.51,117.17,0.0,0.0,0.0,0.27,0.51,117.44
Indian Bank App,2023,11,0.36,89.84,0.0,0.0,0.0,4.1,0.36,93.94
Fino Payments Bank App,2023,11,0.27,25.0,0.0,0.0,0.0,0.0,0.27,25.0
UCO Bank App,2023,11,0.26,81.93,0.0,0.0,0.0,0.0,0.26,81.93
Bajaj Finserv,2023,11,0.26,62.02,0.0,0.0,0.0,0.0,0.26,62.02
South Indian Bank App,2023,11,0.25,74.07,0.0,0.0,0.0,0.0,0.25,74.07
Bank of India App,2023,11,0.24,88.76,0.0,0.0,0.0,0.0,0.24,88.76
HSBC Bank App,2023,11,0.18,110.45,0.0,0.1,0.0,0.0,0.18,110.56
INDIE,2023,11,0.16,30.77,0.0,0.0,0.0,0.0,0.16,30.77
Tamilnad Mercantile Bank Apps,2023,11,0.1,29.13,0.0,0.0,0.0,0.0,0.1,29.13
Indian Overseas Bank Apps,2023,11,0.09,24.83,0.0,0.0,0.0,0.0,0.09,24.83
Fave,2023,11,0.09,8.29,0.0,0.0,0.0,0.0,0.09,8.29
Shriram One,2023,11,0.09,10.06,0.0,0.0,0.0,0.0,0.09,10.06
Ultracash,2023,11,0.08,5.5,0.0,0.0,0.0,0.0,0.08,5.5
TataNeu,2023,11,0.08,11.36,0.0,0.0,0.0,0.0,0.08,11.36
City Union Bank App,2023,11,0.07,22.07,0.0,0.0,0.0,0.0,0.07,22.07
IDBI Bank App,2023,11,0.07,35.22,0.0,0.0,0.0,0.0,0.07,35.22
Citi Bank App,2023,11,0.07,60.24,0.0,0.0,0.0,0.0,0.07,60.24
Mobikwik,2023,11,0.06,8.71,0.0,0.0,0.0,0.0,0.06,8.71
Digikhata,2023,11,0.05,20.12,0.0,0.0,0.0,0.0,0.05,20.12
Bank of Maharashtra App,2023,11,0.04,8.79,0.0,0.0,0.0,0.0,0.04,8.79
MakeMyTrip,2023,11,0.04,22.58,0.0,0.0,0.0,0.0,0.04,22.58
Karur Vysya Bank App,2023,11,0.04,14.83,0.0,0.0,0.0,0.0,0.04,14.83
Timepay,2023,11,0.04,1.2,0.0,0.0,0.0,0.0,0.04,1.2
NSDL Payments Bank App,2023,11,0.03,5.89,0.0,0.0,0.0,0.0,0.03,5.89
Equitas Small Apps,2023,11,0.03,19.96,0.0,0.0,0.0,0.0,0.03,19.96
Punjab Sindh Bank App,2023,11,0.03,14.19,0.0,0.0,0.0,0.0,0.03,14.19
Allahabad Bank App,2023,11,0.03,6.93,0.0,0.0,0.0,0.0,0.03,6.93
CBDC,2023,11,0.2,8.49,0.0,0.0,0.01,0.46,0.22,8.95
Others,2023,11,0.11,26.81,0.0,0.0,0.0,0.0,0.11,26.81
PhonePe,2024,11,7401.93,1088635.03,0.0,0.0,0.0,0.0,7401.93,1088635.03
Google Pay,2024,11,5739.12,764639.66,0.0,0.0,0.0,0.0,5739.12,764639.66
Paytm,2024,11,1075.09,118004.06,0.0,0.0,0.0,0.0,1075.09,118004.06
Navi,2024,11,152.95,8806.45,0.0,0.0,0.0,0.0,152.95,8806.45
Cred,2024,11,138.24,50560.48,0.0,0.0,0.0,0.0,138.24,50560.48
Axis Bank Apps,2024,11,22.2,4151.71,108.14,2184.35,0.01,1.78,130.36,6337.84
super.money #,2024,11,78.49,3130.1,0.0,0.0,0.0,0.0,78.49,3130.1
Amazon Pay,2024,11,71.6,7914.87,0.0,0.0,0.0,0.0,71.6,7914.87
FamApp by Trio,2024,11,67.41,777.46,0.0,0.0,0.0,0.0,67.41,777.46
ICICI Bank Apps,2024,11,51.13,18538.92,0.01,8.18,2.57,2951.05,53.71,21498.14
WhatsApp,2024,11,51.76,3890.1,0.0,0.0,0.0,0.0,51.76,3890.1
Kotak Mahindra Bank Apps,2024,11,47.35,6583.09,0.0,0.0,0.0,0.0,47.35,6583.09
HDFC Bank Apps,2024,11,36.67,10416.41,0.16,0.34,0.01,0.52,36.84,10417.27
Yes Bank Apps,2024,11,35.35,9201.05,0.0,0.03,0.33,14.02,35.69,9215.09
BHIM,2024,11,27.05,8210.65,0.0,0.0,0.0,0.0,27.05,8210.65
Airtel Payments Bank Apps,2024,11,18.6,1389.67,0.0,0.0,0.0,0.05,18.6,1389.73
Mobikwik,2024,11,16.63,2942.38,0.0,0.0,0.0,0.0,16.63,2942.38
Flipkart UPI,2024,11,13.25,636.91,0.0,0.0,0.0,0.0,13.25,636.91
Groww,2024,11,13.22,8479.87,0.0,0.0,0.0,0.0,13.22,8479.87
Slice,2024,11,11.54,845.13,0.0,0.0,0.0,0.0,11.54,845.13
SBI Bank Apps,2024,11,10.46,3035.13,0.0,0.0,0.0,0.0,10.46,3035.13
India Post Payments Bank App,2024,11,8.91,1131.95,0.0,0.0,0.0,0.0,8.91,1131.95
IDFC First Bank Apps,2024,11,8.59,1931.32,0.0,0.0,0.01,1.0,8.6,1932.32
Bajaj Finserv,2024,11,8.1,1584.15,0.0,0.0,0.0,0.0,8.1,1584.15
Samsung Pay,2024,11,7.9,578.99,0.0,0.0,0.0,0.0,7.9,578.99
Jupiter Money,2024,11,6.02,825.36,0.0,0.0,0.0,0.0,6.02,825.36
RBL Bank App,2024,11,4.99,908.57,0.0,0.0,0.04,5.71,5.03,914.28
Pop Club,2024,11,4.0,267.15,0.0,0.0,0.0,0.0,4.0,267.15
Federal Bank App,2024,11,3.36,578.23,0.0,0.0,0.0,0.0,3.36,578.23
Punjab National Bank App,2024,11,3.31,753.1,0.0,0.0,0.0,0.0,3.31,753.1
Jio Payments Bank App,2024,11,3.18,263.81,0.0,0.0,0.0,0.0,3.18,263.81
Fi Money #,2024,11,3.07,373.29,0.0,0.0,0.0,0.0,3.07,373.29
Canara Bank App,2024,11,3.01,802.16,0.0,0.0,0.0,0.0,3.01,802.16
Deutsche Bank App,2024,11,2.68,400.97,0.0,0.0,0.0,0.07,2.68,401.03
Indian Bank App,2024,11,2.19,410.19,0.0,0.0,0.0,0.0,2.19,410.19
Timepay,2024,11,1.72,19.88,0.0,0.0,0.0,0.0,1.72,19.88
OMNI,2024,11,1.35,100.86,0.0,0.0,0.0,0.0,1.35,100.86
Central Bank of India App,2024,11,1.06,197.17,0.0,0.0,0.0,0.0,1.06,197.17
Bank of Baroda Apps,2024,11,1.01,389.1,0.0,0.0,0.0,0.0,1.01,389.1
Jammu and Kashmir Bank App,2024,11,0.79,135.44,0.0,0.0,0.0,0.0,0.79,135.44
Union Bank Apps,2024,11,0.73,238.56,0.0,0.0,0.0,0.0,0.73,238.56
GoKiwi,2024,11,0.69,106.42,0.0,0.0,0.0,0.0,0.69,106.42
HSBC Bank App,2024,11,0.68,176.26,0.0,0.1,0.0,0.09,0.68,176.45
Aditya Birla Capital Digital,2024,11,0.66,30.09,0.0,0.0,0.0,0.0,0.66,30.09
South Indian Bank App,2024,11,0.59,167.92,0.0,0.0,0.0,0.0,0.59,167.92
DBS Bank Apps,2024,11,0.57,190.59,0.0,0.0,0.0,1.14,0.57,191.73
Fino Payments Bank App,2024,11,0.51,64.81,0.0,0.0,0.0,0.0,0.51,64.81
Digikhata,2024,11,0.46,156.43,0.0,0.0,0.0,0.0,0.46,156.43
AU Small Finance Bank App,2024,11,0.45,134.47,0.0,0.0,0.0,0.0,0.45,134.47
Shriram One,2024,11,0.38,39.72,0.0,0.0,0.0,0.0,0.38,39.72
INDIE,2024,11,0.35,90.83,0.0,0.0,0.01,1.49,0.36,92.32
One Card #,2024,11,0.36,356.22,0.0,0.0,0.0,0.0,0.36,356.22
TataNeu,2024,11,0.3,78.83,0.0,0.0,0.0,0.0,0.3,78.83
True Balance,2024,11,0.29,33.18,0.0,0.0,0.0,0.0,0.29,33.18
UCO Bank App,2024,11,0.28,66.32,0.0,0.0,0.0,0.0,0.28,66.32
Bank of India App,2024,11,0.2,55.8,0.0,0.0,0.0,0.0,0.2,55.8
Standard Chartered Bank App,2024,11,0.18,114.58,0.0,0.0,0.0,0.0,0.18,114.58
Indian Overseas Bank Apps,2024,11,0.18,49.21,0.0,0.0,,,0.18,49.21
Karnataka Bank App,2024,11,0.18,38.31,0.0,0.0,0.0,0.0,0.18,38.31
Dhani,2024,11,0.13,13.25,0.0,0.0,0.0,0.0,0.13,13.25
ESAF Small Finance Bank Apps,2024,11,0.12,14.69,0.0,0.0,0.0,0.0,0.12,14.69
Niyo Global,2024,11,0.09,52.41,0.0,0.0,0.0,0.0,0.09,52.41
Rapipay,2024,11,0.09,11.7,0.0,0.0,0.0,0.0,0.09,11.7
Suryoday,2024,11,0.08,0.22,0.0,0.0,0.0,0.01,0.08,0.23
