Application Name,Year,Month,Volume Customer(Mn),Value Customer (Cr),Volume B2C (Mn),Value B2C (Cr),Volume B2B(Mn),Value B2B(Cr),Volume (Mn),Value (Cr)
HSBC Bank App,2022,8,0.11,65.7,0.0,0.44,0.0,0.0,0.11,66.14
ICICI Bank Apps,2022,8,36.96,8334.98,4.96,406.52,3.68,1983.75,45.59,10725.25
IDBI Bank App,2022,8,0.04,20.31,,,,,0.04,20.31
IDFC First Bank Apps,2022,8,10.19,762.41,,,0.0,0.0,10.19,762.41
India Post Payments Bank App,2022,8,4.3,504.41,,,,,4.3,504.41
Indian Bank App,2022,8,0.22,63.1,,,0.0,0.23,0.22,63.33
Indian Overseas Bank Apps,2022,8,0.01,4.66,,,,,0.01,4.66
INDIE,2022,8,1.01,1605.56,,,,,1.01,1605.56
Janta Sahakari Bank App,2022,8,0.01,4.56,,,,,0.01,4.56
Jio Payments Bank App,2022,8,1.85,113.28,,,,,1.85,113.28
Jupiter Money,2022,8,2.03,249.2,,,,,2.03,249.2
Karnataka Bank App,2022,8,0.38,55.32,,,,,0.38,55.32
Karur Vysya Bank App,2022,8,0.04,16.54,,,,,0.04,16.54
Kotak Mahindra Bank Apps,2022,8,9.28,1939.14,,,0.0,0.0,9.28,1939.14
MakeMyTrip,2022,8,0.15,62.67,,,,,0.15,62.67
MI Pay,2022,8,0.15,24.8,,,,,0.15,24.8
Mobikwik,2022,8,2.84,562.95,,,,,2.84,562.95
NSDL Payments Bank App,2022,8,0.02,2.85,,,,,0.02,2.85
Paytm,2022,8,871.86,96034.11,4.11,10.37,0.38,458.24,986.39,114217.1
PhonePe,2022,8,3146.71,528433.49,,,,,3146.71,528433.49
Punjab National Bank App,2022,8,0.09,43.41,,,,,0.09,43.41
Punjab Sindh Bank App,2022,8,0.01,5.25,,,,,0.01,5.25
RBL Bank App,2022,8,0.82,162.46,,,0.01,0.56,0.82,163.02
Samsung Pay,2022,8,4.09,468.37,,,,,4.09,468.37
South Indian Bank App,2022,8,0.16,52.73,,,,,0.16,52.73
